Rank,Player_ID,Name,Nationality,Birth_Year,Play_Hand,Backhand,is_ghost
244.0,800660593,Nicolas Rivera Paz,MEX,2008.0,Right Handed,Double Handed Backhand,False
245.0,800597371,Aleksandar Tolev,BUL,2009.0,Unknown,Unknown,False
246.0,800684025,Doruk Calikoglu,TUR,2008.0,Unknown,Unknown,False
247.0,800655675,Diego Ignacio Gomez Pajares,PER,2009.0,Unknown,Unknown,False
248.0,800591666,Philipp Dolotov,RUS,2008.0,Right Handed,Double Handed Forehand,False
249.0,800712329,Charles Minvielle,USA,2009.0,Unknown,Unknown,False
250.0,800595074,Tommaso Pedretti,ITA,2009.0,Left Handed,Double Handed Backhand,False
251.0,800772607,Felix Raser,AUT,2009.0,Unknown,Unknown,False
252.0,800596844,Ken Ink,EST,2009.0,Right Handed,Double Handed Backhand,False
253.0,800790501,Tyler Lee,USA,2009.0,Unknown,Unknown,False
254.0,800594501,Ferdinand Livet Novkirichka,FRA,2008.0,Unknown,Unknown,False
255.0,800680752,Justin Riley Anson,USA,2008.0,Unknown,Unknown,False
256.0,800598010,Andrea Baudel,FRA,2009.0,Left Handed,Double Handed Backhand,False
257.0,800670178,Mahmoud chetouane,TUN,2008.0,Right Handed,Double Handed Backhand,False
258.0,800672663,Andy Tchinda Kepche,CAN,2009.0,Unknown,Unknown,False
259.0,800680843,Guillermo Narcio,MEX,2008.0,Unknown,Unknown,False
260.0,800742693,Dehan Van Deventer,RSA,2009.0,Right Handed,Double Handed Backhand,False
261.0,800664727,Mateo Fluri,SUI,2008.0,Right Handed,Double Handed Backhand,False
262.0,800625292,Yanhong Li,CHN,2008.0,Right Handed,Double Handed Backhand,False
263.0,800584484,Bercel Sandor Takacs,HUN,2008.0,Right Handed,Double Handed Backhand,False
264.0,800791730,Tristan Stratton,USA,2009.0,Unknown,Unknown,False
265.0,800750845,Matias Reyniak,USA,2009.0,Unknown,Unknown,False
266.0,800694428,Guy Leviner,ISR,2009.0,Unknown,Unknown,False
267.0,800586897,Viggo Wagenknecht,GER,2008.0,Unknown,Unknown,False
268.0,800647867,Ivan Samstyka,BLR,2009.0,Unknown,Unknown,False
269.0,800631924,Rafael Asadullin,RUS,2008.0,Right Handed,Double Handed Backhand,False
270.0,800684768,Benoit Geldof,FRA,2010.0,Unknown,Unknown,False
271.0,800599131,Edoardo Barbalaco,ITA,2008.0,Unknown,Double Handed Backhand,False
272.0,800689813,Kazuki Nakajima,JPN,2011.0,Unknown,Unknown,False
273.0,800714127,Enoch Lin,CAN,2008.0,Unknown,Unknown,False
274.0,800599907,Andreas Messis,GRE,2008.0,Unknown,Unknown,False
275.0,800594775,Christian Pizzolante,ITA,2008.0,Unknown,Unknown,False
276.0,800765322,Shaan A Majeed,USA,2009.0,Unknown,Unknown,False
277.0,800659993,Nikita Berdin,RUS,2011.0,Right Handed,Double Handed Backhand,False
278.0,800672470,Miko Lapalme,CAN,2008.0,Unknown,Unknown,False
279.0,800603015,David Popa,ROU,2008.0,Right Handed,Double Handed Backhand,False
280.0,800638951,Philip Niederle,AUT,2008.0,Unknown,Unknown,False
281.0,800653766,Moritz Glauser,LIE,2009.0,Right Handed,Double Handed Backhand,False
282.0,800592750,Davide Ciaschetti,ITA,2008.0,Unknown,Unknown,False
283.0,800701795,Gary Jiang,CAN,2008.0,Unknown,Unknown,False
284.0,800746729,Kuan-Huai Mao,TPE,2009.0,Unknown,Unknown,False
285.0,800680005,Mikaeel Ali Baig,PAK,2009.0,Right Handed,Double Handed Backhand,False
286.0,800590931,Ilya Mosolkin,RUS,2008.0,Unknown,Unknown,False
287.0,800714095,Angel Maffezzoli,ARG,2008.0,Unknown,Unknown,False
288.0,800591606,Ivan Makarov,RUS,2009.0,Unknown,Unknown,False
289.0,800697384,Dhakshish Aryan Basavaraju,USA,2009.0,Left Handed,Double Handed Backhand,False
290.0,800667545,Filip Hesser,SWE,2008.0,Unknown,Unknown,False
291.0,800621251,Zac Naughton,IRL,2008.0,Unknown,Unknown,False
292.0,800599348,Georgios Mitalas,GRE,2008.0,Unknown,Unknown,False
293.0,800693309,Elijah Dikkenberg,AUS,2008.0,Right Handed,Double Handed Backhand,False
294.0,800682340,Pratik Navin,AUS,2009.0,Right Handed,Double Handed Backhand,False
295.0,800626828,Omer Shamian,ISR,2008.0,Right Handed,Double Handed Backhand,False
296.0,800599350,Juchan Hwang,KOR,2008.0,Left Handed,Double Handed Backhand,False
297.0,800664509,Pablo Pradat,FRA,2010.0,Right Handed,Unknown,False
298.0,800672403,Dany Robas,SUI,2008.0,Right Handed,Double Handed Backhand,False
299.0,800710579,Tomas Dummer Macedo,BRA,2008.0,Unknown,Unknown,False
300.0,800631800,Xingyu Chen,CHN,2008.0,Unknown,Unknown,False
301.0,800601993,Dominik Dujka,CZE,2009.0,Right Handed,Double Handed Backhand,False
302.0,800586446,Timeo Trufelli,FRA,2008.0,Right Handed,Double Handed Backhand,False
303.0,800683989,David Aguiar Johansson,ESP,2008.0,Unknown,Unknown,False
304.0,800660210,Rodolfo Federico De Andreis,VEN,2009.0,Unknown,Unknown,False
305.0,800670641,Rafalentino Ali Da Costa,INA,2010.0,Right Handed,Double Handed Backhand,False
306.0,800695236,Patrick Breen,IRL,2010.0,Right Handed,Double Handed Backhand,False
307.0,800643882,Egor Navrazidi,RUS,2009.0,Unknown,Unknown,False
308.0,800720296,Matthew Shapiro,USA,2008.0,Right Handed,Double Handed Backhand,False
309.0,800700226,Faustino Boffelli,ARG,2008.0,Unknown,Unknown,False
310.0,800740257,Fu Wang Choi,HKG,2011.0,Unknown,Unknown,False
311.0,800725121,Gurjot Singh,USA,2008.0,Unknown,Unknown,False
312.0,800596349,Wiktor Jez,POL,2008.0,Unknown,Unknown,False
313.0,800740791,Haolong He,CHN,2009.0,Right Handed,Double Handed Backhand,False
314.0,800689814,Kanata Ozaki,JPN,2008.0,Unknown,Unknown,False
315.0,800622304,Iaroslav Klishin,RUS,2009.0,Right Handed,Unknown,False
316.0,800668500,Casey Drake,GBR,2008.0,Right Handed,Double Handed Backhand,False
